"","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"X001ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X003ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X004ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X005ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X006ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X007ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X008ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X009ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X010ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X011ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X012ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X013ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X015ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X016ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X017ND",1,1,1,1,2,2,2,2,3,3,3,3,3,3
"X018ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X019ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X020ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X022ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X023ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X027ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X029ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X030ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X032ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X033ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X034ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X038ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X039ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X040ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X041ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X044ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X045ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X047ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X048ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X049ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X051ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X052ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X053ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X054ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X055ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X057ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X058ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X060ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X063ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X064ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X070ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X082ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X083ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X090ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X091ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X100ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X1047ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1050ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1052ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1053ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1054ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1059ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1062ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1063ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1066ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
